FID,condition_model,Criticality_SCR,Condition_Score,criticality_model
3284,120,210,120,210
3285,120,210,120,210
3286,120,210,120,210
3287,160,210,160,210
3288,160,30,160,30
3289,120,30,120,30
3290,120,30,120,30
3291,80,30,80,30
3292,240,30,240,30
3293,160,30,160,30
3294,120,30,120,30
3295,120,30,120,30
3296,120,30,120,30
3297,120,30,120,30
3298,120,30,120,30
3299,120,30,120,30
3300,200,30,200,30
3301,120,30,120,30
3302,160,30,160,30
3303,160,30,160,30
3304,200,210,200,210
3305,200,210,200,210
3306,160,210,160,210
3307,160,210,160,210
3308,120,210,120,210
3309,120,210,120,210
3310,120,210,120,210
3311,160,210,160,210
3312,120,210,120,210
3313,160,120,160,120
3314,120,210,120,210
3315,120,210,120,210
3316,120,210,120,210
3317,120,210,120,210
3318,240,30,240,30
3319,120,30,120,30
3320,120,30,120,30
3321,120,30,120,30
3322,120,30,120,30
3323,120,30,120,30
3324,240,30,240,30
3325,280,120,280,120
3326,160,120,160,120
3327,120,210,120,210
3328,200,30,200,30
3329,200,30,200,30
3330,240,30,240,30
3331,240,30,240,30
3332,200,30,200,30
3333,280,120,280,120
3334,240,120,240,120
3335,120,30,120,30
3336,120,30,120,30
3337,200,30,200,30
3338,120,30,120,30
3339,200,30,200,30
3340,200,30,200,30
3341,160,30,160,30
3342,240,120,240,120
3343,240,120,240,120
3344,120,120,120,120
3345,280,120,280,120
3346,280,120,280,120
3347,360,30,360,30
3348,200,30,200,30
3349,200,210,200,210
3350,280,210,280,210
3351,360,30,360,30
3352,160,30,160,30
3353,80,30,80,30
3354,240,120,240,120
3355,240,120,240,120
3356,200,120,200,120
3357,120,120,120,120
3358,200,120,200,120
3359,240,30,240,30
3360,200,120,200,120
3361,280,120,280,120
3362,280,120,280,120
3363,200,120,200,120
3364,120,120,120,120
3365,200,120,200,120
3366,200,120,200,120
3367,200,120,200,120
3368,160,30,160,30
3369,120,30,120,30
3370,160,30,160,30
3371,120,30,120,30
3372,120,30,120,30
3373,120,30,120,30
3374,120,30,120,30
3375,120,30,120,30
3376,120,30,120,30
3377,120,30,120,30
3378,120,30,120,30
3379,120,30,120,30
3380,280,30,280,30
3381,160,30,160,30
3382,120,120,120,120
3383,120,120,120,120
3384,120,120,120,120
3385,120,30,120,30
3386,120,30,120,30
3387,160,30,160,30
3388,200,30,200,30
3389,120,30,120,30
3390,120,30,120,30
3391,120,120,120,120
3392,120,30,120,30
3393,120,30,120,30
3394,120,30,120,30
3395,120,120,120,120
3396,120,120,120,120
3397,120,30,120,30
3398,200,30,200,30
3399,280,30,280,30
3400,120,120,120,120
3401,120,120,120,120
3402,120,120,120,120
3403,120,120,120,120
3404,120,120,120,120
3405,120,120,120,120
3406,160,120,160,120
3407,160,30,160,30
3408,240,30,240,30
3409,200,30,200,30
3410,320,30,320,30
3411,240,30,240,30
3412,160,120,160,120
3413,160,120,160,120
3414,240,30,240,30
3415,200,120,200,120
3416,160,120,160,120
3417,400,120,400,120
3418,240,120,240,120
3419,240,120,240,120
3420,160,120,160,120
3421,160,30,160,30
3422,120,30,120,30
3423,120,30,120,30
3424,240,30,240,30
3425,240,120,240,120
3426,200,120,200,120
3427,280,30,280,30
3428,160,120,160,120
3429,200,120,200,120
3430,200,120,200,120
