FID,TARGET_Performance_Level,performance_pred,TARGET_Criticality_Level,criticality_pred,condition_pred,TARGET_Condition_level,TARGET_MITIGATION_Level_PAN,mitigation_pred
3565,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
3568,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
3569,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
708,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
709,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
704,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
705,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
706,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
707,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
700,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
701,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
702,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
703,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0
14619,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
14618,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
14615,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
14614,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
14617,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0
14616,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
14611,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0
14610,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
14613,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
14612,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
18068,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
18069,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
18062,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
18063,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
18060,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
18061,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
18066,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
18067,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
18064,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
18065,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
15258,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
15259,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
2015,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
15252,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0
15253,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
15250,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
15251,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0
15256,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
15257,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
15254,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
15255,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19739,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
19738,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
16509,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
16508,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
16507,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
19734,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
